time,temperature,setpoint
2024-06-30 00:12:21.826715,47.25,47.0
2024-06-30 00:12:26.833987,47.00,47.0
2024-06-30 00:12:31.841655,47.25,47.0
2024-06-30 00:12:36.849282,47.25,47.0
2024-06-30 00:12:41.856908,46.50,47.0
2024-06-30 00:12:46.864134,48.25,47.0
2024-06-30 00:12:51.871798,46.25,47.0
2024-06-30 00:12:56.879454,47.25,47.0
2024-06-30 00:13:01.887092,47.50,47.0
2024-06-30 00:13:06.894592,47.00,47.0
2024-06-30 00:13:11.902364,46.75,47.0
2024-06-30 00:13:16.909865,47.25,47.0
2024-06-30 00:13:21.917354,46.00,47.0
2024-06-30 00:13:26.925125,47.25,47.0
2024-06-30 00:13:31.932407,47.75,47.0
2024-06-30 00:13:36.940252,46.25,47.0
2024-06-30 00:13:41.947691,47.25,47.0
2024-06-30 00:13:46.955571,47.00,47.0
2024-06-30 00:13:51.962781,47.25,47.0
2024-06-30 00:13:56.970781,47.25,47.0
2024-06-30 00:14:01.977995,46.25,47.0
2024-06-30 00:14:06.985519,47.25,47.0
2024-06-30 00:14:11.993063,47.50,47.0
2024-06-30 00:14:17.000594,46.00,47.0
2024-06-30 00:14:22.008350,46.25,47.0
2024-06-30 00:14:27.015912,47.50,47.0
2024-06-30 00:14:32.023685,45.75,47.0
2024-06-30 00:14:37.031150,47.50,47.0
2024-06-30 00:14:42.038629,47.00,47.0
2024-06-30 00:14:47.046095,48.00,47.0
2024-06-30 00:14:52.053569,46.50,47.0
2024-06-30 00:14:57.061155,48.25,47.0
2024-06-30 00:15:02.069096,47.00,47.0
2024-06-30 00:15:07.076442,48.25,47.0
2024-06-30 00:15:12.084088,46.50,47.0
2024-06-30 00:15:17.091624,48.75,47.0
2024-06-30 00:15:22.099276,47.50,47.0
2024-06-30 00:15:27.106581,48.75,47.0
2024-06-30 00:15:32.114237,48.50,47.0
2024-06-30 00:15:37.121864,49.00,47.0
2024-06-30 00:15:42.129347,47.50,47.0
2024-06-30 00:15:47.137088,49.25,47.0
2024-06-30 00:15:52.144176,48.00,47.0
2024-06-30 00:15:57.151802,49.00,47.0
2024-06-30 00:16:02.159425,49.50,47.0
2024-06-30 00:16:07.167188,48.25,47.0
2024-06-30 00:16:12.174514,49.75,47.0
2024-06-30 00:16:17.182016,49.00,47.0
2024-06-30 00:16:22.189812,50.25,47.0
2024-06-30 00:16:27.197297,48.75,47.0
2024-06-30 00:16:32.204658,49.50,47.0
2024-06-30 00:16:37.211783,50.00,47.0
2024-06-30 00:16:42.219413,49.50,47.0
2024-06-30 00:16:47.226797,49.50,47.0
2024-06-30 00:16:52.234176,50.00,47.0
2024-06-30 00:16:57.241523,49.75,47.0
2024-06-30 00:17:02.249338,49.75,47.0
2024-06-30 00:17:07.256574,49.00,47.0
2024-06-30 00:17:12.263999,49.50,47.0
2024-06-30 00:17:17.271301,49.75,47.0
2024-06-30 00:17:22.279066,50.25,47.0
2024-06-30 00:17:27.286468,49.25,47.0
2024-06-30 00:17:32.293592,48.25,47.0
2024-06-30 00:17:37.301107,50.00,47.0
2024-06-30 00:17:42.308386,49.25,47.0
2024-06-30 00:17:47.315850,49.75,47.0
2024-06-30 00:17:52.323285,49.50,47.0
2024-06-30 00:17:57.330777,49.25,47.0
2024-06-30 00:18:02.338129,49.50,47.0
2024-06-30 00:18:07.345612,49.50,47.0
2024-06-30 00:18:12.353391,49.25,47.0
2024-06-30 00:18:17.360479,49.00,47.0
2024-06-30 00:18:22.367850,49.50,47.0
2024-06-30 00:18:27.375376,49.50,47.0
2024-06-30 00:18:32.382789,49.25,47.0
2024-06-30 00:18:37.390198,48.75,47.0
2024-06-30 00:18:42.397856,49.00,47.0
2024-06-30 00:18:47.405373,48.50,47.0
2024-06-30 00:18:52.412497,49.00,47.0
2024-06-30 00:18:57.420033,49.75,47.0
2024-06-30 00:19:02.427612,49.50,47.0
2024-06-30 00:19:07.435377,49.50,47.0
2024-06-30 00:19:12.442337,49.25,47.0
2024-06-30 00:19:17.449899,49.50,47.0
2024-06-30 00:19:22.457482,49.25,47.0
2024-06-30 00:19:27.464957,49.25,47.0
2024-06-30 00:19:32.472110,48.50,47.0
2024-06-30 00:19:37.479587,49.50,47.0
2024-06-30 00:19:42.487394,49.25,47.0
2024-06-30 00:19:47.494906,49.50,47.0
2024-06-30 00:19:52.502037,49.00,47.0
2024-06-30 00:19:57.509905,49.00,47.0
2024-06-30 00:20:02.516617,48.50,47.0
2024-06-30 00:20:07.524181,49.00,47.0
2024-06-30 00:20:12.531578,49.50,47.0
2024-06-30 00:20:17.538962,49.00,47.0
2024-06-30 00:20:22.546756,49.25,47.0
2024-06-30 00:20:27.553882,49.25,47.0
2024-06-30 00:20:32.561523,49.00,47.0
2024-06-30 00:20:37.568910,49.50,47.0
2024-06-30 00:20:42.576547,49.25,47.0
2024-06-30 00:20:47.583698,49.00,47.0
2024-06-30 00:20:52.591400,49.25,47.0
2024-06-30 00:20:57.598794,49.00,47.0
2024-06-30 00:21:02.606363,48.75,47.0
2024-06-30 00:21:07.613782,49.25,47.0
2024-06-30 00:21:12.621184,48.25,47.0
2024-06-30 00:21:17.628495,49.25,47.0
2024-06-30 00:21:22.636160,49.50,47.0
2024-06-30 00:21:27.643529,49.25,47.0
2024-06-30 00:21:32.650810,49.00,47.0
2024-06-30 00:21:37.658369,49.50,47.0
2024-06-30 00:21:42.665534,49.25,47.0
2024-06-30 00:21:47.672895,49.25,47.0
2024-06-30 00:21:52.680421,49.00,47.0
2024-06-30 00:21:57.687968,49.25,47.0
2024-06-30 00:22:02.695495,49.00,47.0
2024-06-30 00:22:07.702962,49.50,47.0
2024-06-30 00:22:12.710500,49.00,47.0
2024-06-30 00:22:17.717853,48.75,47.0
2024-06-30 00:22:22.725078,49.50,47.0
2024-06-30 00:22:27.732477,49.50,47.0
2024-06-30 00:22:32.740108,49.25,47.0
2024-06-30 00:22:37.747571,48.75,47.0
2024-06-30 00:22:42.754760,49.25,47.0
2024-06-30 00:22:47.762131,49.00,47.0
2024-06-30 00:22:52.769836,49.50,47.0
2024-06-30 00:22:57.777080,49.50,47.0
2024-06-30 00:23:02.784770,48.75,47.0
2024-06-30 00:23:07.792064,48.75,47.0
2024-06-30 00:23:12.799403,49.25,47.0
2024-06-30 00:23:17.807166,49.00,47.0
2024-06-30 00:23:22.814346,48.75,47.0
2024-06-30 00:23:27.822100,48.50,47.0
2024-06-30 00:23:32.829184,48.50,47.0
2024-06-30 00:23:37.836603,48.75,47.0
2024-06-30 00:23:42.843946,48.50,47.0
2024-06-30 00:23:47.851499,48.50,47.0
2024-06-30 00:23:52.859186,48.25,47.0
2024-06-30 00:23:57.866584,48.50,47.0
2024-06-30 00:24:02.873940,48.50,47.0
2024-06-30 00:24:07.881169,48.50,47.0
2024-06-30 00:24:12.888836,49.25,47.0
2024-06-30 00:24:17.895969,49.00,47.0
2024-06-30 00:24:22.903298,49.00,47.0
2024-06-30 00:24:27.911086,48.75,47.0
2024-06-30 00:24:32.918284,49.00,47.0
2024-06-30 00:24:37.925785,48.25,47.0
2024-06-30 00:24:42.933473,49.25,47.0
2024-06-30 00:24:47.940948,48.25,47.0
2024-06-30 00:24:52.948560,49.00,47.0
2024-06-30 00:24:57.956056,50.00,47.0
2024-06-30 00:25:02.963551,48.50,47.0
2024-06-30 00:25:07.971135,49.50,47.0
2024-06-30 00:25:12.978717,48.25,47.0
2024-06-30 00:25:17.986373,49.75,47.0
2024-06-30 00:25:22.993889,48.00,47.0
2024-06-30 00:25:28.001283,49.00,47.0
2024-06-30 00:25:33.008947,48.75,47.0
2024-06-30 00:25:38.016275,48.50,47.0
2024-06-30 00:25:43.023703,49.00,47.0
2024-06-30 00:25:48.031533,49.50,47.0
2024-06-30 00:25:53.039068,48.50,47.0
2024-06-30 00:25:58.046576,48.75,47.0
2024-06-30 00:26:03.054277,49.25,47.0
2024-06-30 00:26:08.061822,48.25,47.0
2024-06-30 00:26:13.069087,48.75,47.0
2024-06-30 00:26:18.076490,48.50,47.0
2024-06-30 00:26:23.084014,48.75,47.0
2024-06-30 00:26:28.091591,49.00,47.0
2024-06-30 00:26:33.099117,48.50,47.0
2024-06-30 00:26:38.107074,48.25,47.0
2024-06-30 00:26:43.114359,48.25,47.0
2024-06-30 00:26:48.121805,48.50,47.0
2024-06-30 00:26:53.129364,48.00,47.0
2024-06-30 00:26:58.136605,48.25,47.0
2024-06-30 00:27:03.143884,48.25,47.0
2024-06-30 00:27:08.151494,48.50,47.0
2024-06-30 00:27:13.159171,48.25,47.0
2024-06-30 00:27:18.166135,48.25,47.0
2024-06-30 00:27:23.173848,48.75,47.0
2024-06-30 00:27:28.181181,48.75,47.0
2024-06-30 00:27:33.188400,48.50,47.0
2024-06-30 00:27:38.195929,48.50,47.0
2024-06-30 00:27:43.203561,48.00,47.0
2024-06-30 00:27:48.211078,47.75,47.0
2024-06-30 00:27:53.218402,48.75,47.0
2024-06-30 00:27:58.225769,48.50,47.0
2024-06-30 00:28:03.232950,48.50,47.0
